460,227,UNDER,231.5,-108,,
461,228,AWAY,,-142,,
462,228,HOME,,120,,
463,229,AWAY,-2.5,-108,,
464,229,HOME,2.5,-112,,
465,230,OVER,221.5,-110,,
466,230,UNDER,221.5,-110,,
467,231,AWAY,,-245,,
468,231,HOME,,200,,
469,232,AWAY,-6.0,-112,,
470,232,HOME,6.0,-108,,
471,233,OVER,231.0,-110,,
472,233,UNDER,231.0,-110,,
473,234,AWAY,,110,,
474,234,HOME,,-130,,
475,235,AWAY,2.0,-110,,
476,235,HOME,-2.0,-110,,
477,236,OVER,231.5,-108,,
478,236,UNDER,231.5,-112,,
479,237,AWAY,,170,,
480,237,HOME,,-205,,
481,238,AWAY,5.5,-108,,
482,238,HOME,-5.5,-112,,
483,239,OVER,215.5,-110,,
484,239,UNDER,215.5,-110,,
485,240,AWAY,,-175,,
486,240,HOME,,145,,
487,241,AWAY,-4.0,-110,,
488,241,HOME,4.0,-110,,
489,242,OVER,214.5,-112,,
490,242,UNDER,214.5,-108,,
491,243,HOME,,-485,,
492,243,AWAY,,370,,
493,244,HOME,-9.5,-110,,
494,244,AWAY,9.5,-110,,
495,245,OVER,217.0,-110,,
496,245,UNDER,217.0,-110,,
497,246,HOME,,-675,,
498,246,AWAY,,490,,
499,247,HOME,-12.5,-110,,
500,247,AWAY,12.5,-110,,
501,248,OVER,224.0,-110,,
502,248,UNDER,224.0,-110,,
503,249,HOME,,-162,,
504,249,AWAY,,136,,
505,250,HOME,-4.0,-108,,
506,250,AWAY,4.0,-112,,
507,251,OVER,220.0,-112,,
508,251,UNDER,220.0,-108,,
509,252,AWAY,,164,,
510,252,HOME,,-198,,
511,253,AWAY,5.0,-112,,
512,253,HOME,-5.0,-108,,
513,254,OVER,230.0,-112,,
514,254,UNDER,230.0,-108,,
515,255,HOME,,-340,,
516,255,AWAY,,270,,
517,256,HOME,-8.0,-108,,
518,256,AWAY,8.0,-112,,
519,257,OVER,221.0,-108,,
520,257,UNDER,221.0,-112,,
521,258,HOME,,-325,,
522,258,AWAY,,260,,
523,259,HOME,-7.0,-112,,
524,259,AWAY,7.0,-108,,
525,260,OVER,229.0,-110,,
526,260,UNDER,229.0,-110,,
527,261,AWAY,,-455,,
528,261,HOME,,350,,
529,262,AWAY,-10.0,-110,,
530,262,HOME,10.0,-110,,
531,263,OVER,232.0,-108,,
532,263,UNDER,232.0,-112,,
533,264,HOME,,225,,
534,264,AWAY,,-278,,
535,265,HOME,6.5,-108,,
536,265,AWAY,-6.5,-112,,
537,266,OVER,227.0,-110,,
538,266,UNDER,227.0,-110,,
539,267,HOME,,380,,
540,267,AWAY,,-500,,
541,268,HOME,10.5,-110,,
542,268,AWAY,-10.5,-110,,
543,269,OVER,234.0,-108,,
544,269,UNDER,234.0,-112,,
545,270,HOME,,180,,
546,270,AWAY,,-218,,
547,271,HOME,5.5,-115,,
548,271,AWAY,-5.5,-105,,
549,272,OVER,225.5,-110,,
550,272,UNDER,225.5,-110,,
551,273,HOME,,-130,,
552,273,AWAY,,110,,
553,274,HOME,-2.0,-112,,
554,274,AWAY,2.0,-108,,
555,275,OVER,226.0,-108,,
556,275,UNDER,226.0,-112,,
557,276,HOME,,-298,,
558,276,AWAY,,240,,
559,277,HOME,-7.0,-108,,
560,277,AWAY,7.0,-112,,
561,278,OVER,228.0,-112,,
562,278,UNDER,228.0,-108,,
563,279,HOME,,140,,
564,279,AWAY,,-166,,
565,280,HOME,3.0,-105,,
566,280,AWAY,-3.0,-115,,
567,281,OVER,218.5,-110,,
568,281,UNDER,218.5,-110,,
569,282,AWAY,,320,,
570,282,HOME,,-410,,
571,283,AWAY,9.0,-112,,
572,283,HOME,-9.0,-108,,
573,284,OVER,226.5,-108,,
574,284,UNDER,226.5,-112,,
575,285,HOME,,-850,,
576,285,AWAY,,575,,
577,286,HOME,-12.0,-110,,
578,286,AWAY,12.0,-110,,
